date,code,action,price,amount,value,commission
2026-01-23,002135,buy,5.75,17300,99475.0,29.842499999999998
2026-01-23,600126,buy,8.9,11200,99680.0,29.903999999999996
2026-01-23,001211,buy,30.3,3300,99990.0,29.996999999999996
2026-01-23,300079,buy,6.01,16600,99766.0,29.929799999999997
2026-01-23,600641,buy,19.97,5000,99850.0,29.955
2026-01-23,600703,buy,16.54,6000,99240.0,29.772
2026-01-23,300645,buy,20.31,4900,99519.0,29.8557
2026-01-23,301505,buy,26.49,3700,98013.0,29.403899999999997
2026-01-23,600079,buy,18.24,5400,98495.99999999999,29.548799999999993
2026-01-23,600015,buy,6.33,15700,99381.0,29.814299999999996
2026-01-26,600126,sell,9.01,100,901.0,5.901
2026-01-26,001211,buy,29.4,100,2940.0,5.0
2026-01-26,600641,buy,19.14,200,3828.0,5.0
2026-01-27,600126,sell,9.11,100,911.0,5.911
2026-01-28,002135,buy,5.63,200,1126.0,5.0
2026-01-28,600641,sell,19.65,100,1964.9999999999998,6.965
2026-01-28,300645,buy,19.7,100,1970.0,5.0
2026-01-29,002135,sell,5.78,400,2312.0,7.311999999999999
2026-01-29,600015,sell,6.45,300,1935.0,6.9350000000000005
2026-02-09,002135,sell,6.27,17100,107216.99999999999,139.38209999999998
2026-02-09,600126,sell,8.7,11000,95699.99999999999,124.40999999999998
2026-02-09,001211,sell,29.65,3400,100810.0,131.053
2026-02-09,300079,sell,6.25,16600,103750.0,134.875
2026-02-09,600641,sell,17.73,5100,90423.0,117.54990000000001
2026-02-09,600703,sell,15.94,6000,95640.0,124.332
2026-02-09,300645,sell,20.31,5000,101550.0,132.015
2026-02-09,301505,sell,25.16,3700,93092.0,121.0196
2026-02-09,600079,sell,19.18,5400,103572.0,134.6436
2026-02-09,600015,sell,6.61,15400,101794.0,132.3322
