date,total_value,cash
2026-01-28,999700.1105500001,68.61055000004126
2026-01-29,1035154.8067100001,525541.40671
2026-01-30,1032264.9301,525802.4301
2026-02-02,1032760.8929000001,520.8929000000353
2026-02-03,1054058.17196,551127.97196
2026-02-04,1061119.40108,-237.69891999993706
2026-02-05,1075094.2692800001,557522.2692800001
2026-02-06,1073620.00878,-179.99121999990894
2026-02-09,1074202.21328,556630.21328
2026-02-10,1075342.22212,-173.97787999984575
2026-02-11,1080885.9221200002,-173.97787999984575
2026-02-12,1070762.6221200002,-173.97787999984575
2026-02-13,1062932.52212,-173.97787999984575
2026-02-24,1074009.72212,-173.97787999984575
2026-02-25,1067812.52212,-173.97787999984575
2026-02-26,1061051.0130500002,-149.98694999987492
2026-02-27,1064479.9495400002,559324.4495400002
